train_part,test_part,patch_length,patch_stride,val_accuracy,val_precision,val_recall,val_f1,val_tss,val_hss,val_tss_from_cm,test_accuracy,test_precision,test_recall,test_f1,test_tss,test_hss,test_tss_from_cm
1,1,6,3,0.9133954690795292,0.14675052410901468,0.8015267175572519,0.24808033077377437,0.7169523600006902,0.2247196802494311,0.7169523600006902,0.7492675651201193,0.9770330442934145,0.474937343358396,0.6391720965887313,0.46513244090711725,0.4801547346688082,0.46513244090711725
1,2,6,3,0.9112864820736104,0.14315068493150684,0.7977099236641222,0.24274099883855982,0.7110575720644914,0.21913966385131844,0.7110575720644914,0.7453930428636341,0.9835566382460414,0.4940348730498623,0.6577071879454286,0.48593487304981275,0.48828001369501967,0.48593487304981275
1,3,6,3,0.8770664671066059,0.11700545364402579,0.9007633587786259,0.2071083808688021,0.7773997790841249,0.18127734158376183,0.7773997790841249,0.8355121462559479,0.9255156608097784,0.7292335473515249,0.8157333632588935,0.6707159920848776,0.6709223720514077,0.6707159920848776
1,4,6,3,0.8770664671066059,0.11700545364402579,0.9007633587786259,0.2071083808688021,0.7773997790841249,0.18127734158376183,0.7773997790841249,0.7960144927536232,0.9862592659555234,0.5853004291845494,0.7346306646017103,0.5777004291844873,0.5857976358624045,0.5777004291844873
1,5,6,3,0.8770664671066059,0.11700545364402579,0.9007633587786259,0.2071083808688021,0.7773997790841249,0.18127734158376183,0.7773997790841249,0.8317000854314287,0.9804899515916092,0.6751515151515152,0.7996650116647724,0.661850185018435,0.6628721045596346,0.661850185018435
2,1,6,3,0.9221996386630533,0.15360303413400758,0.8617021276595744,0.2607296137339056,0.7848805556542283,0.2401955986566601,0.7848805556542283,0.926756512011932,0.9276718659734258,0.9146730462519936,0.921126598978948,0.8520417305940667,0.8527692068598897,0.8520417305940667
2,2,6,3,0.9221996386630533,0.15360303413400758,0.8617021276595744,0.2607296137339056,0.7848805556542283,0.2401955986566601,0.7848805556542283,0.8910486191750391,0.9392442862065005,0.8338941572346283,0.8834395592524577,0.7809941572345486,0.7818404135811322,0.7809941572345486
2,3,6,3,0.9221996386630533,0.15360303413400758,0.8617021276595744,0.2607296137339056,0.7848805556542283,0.2401955986566601,0.7848805556542283,0.8723265715001253,0.8560322487762742,0.8947632423756019,0.8749693432089076,0.7447182288714759,0.7446693602253911,0.7447182288714759
2,4,6,3,0.9221996386630533,0.15360303413400758,0.8617021276595744,0.2607296137339056,0.7848805556542283,0.2401955986566601,0.7848805556542283,0.808695652173913,0.9793726559836345,0.6164163090128756,0.7566179375740814,0.6043163090128106,0.6120281260744288,0.6043163090128106
2,5,6,3,0.9221996386630533,0.15360303413400758,0.8617021276595744,0.2607296137339056,0.7848805556542283,0.2401955986566601,0.7848805556542283,0.8734107241569928,0.9556735399432028,0.7818181818181819,0.8600477804322463,0.7459145914590705,0.7465869602537338,0.7459145914590705
3,1,6,3,0.8299223712067749,0.15005931198102015,0.9511278195488722,0.25922131147540983,0.7771355903078238,0.21689728078664103,0.7771355903078238,0.898737548607042,0.968141592920354,0.8100934153565732,0.8820939031197668,0.7866817095035569,0.7945787679827033,0.7866817095035569
3,2,6,3,0.8299223712067749,0.15005931198102015,0.9511278195488722,0.25922131147540983,0.7771355903078238,0.21689728078664103,0.7771355903078238,0.8806482556671884,0.9607527547356692,0.7912715407362089,0.8678148065309774,0.7595715407361313,0.7608667676407034,0.7595715407361313
3,3,6,3,0.8299223712067749,0.15005931198102015,0.9511278195488722,0.25922131147540983,0.7771355903078238,0.21689728078664103,0.7771355903078238,0.9065865264212372,0.8908827785817656,0.9263643659711075,0.9082771848718831,0.8132304257889713,0.8131834505153623,0.8132304257889713
3,4,6,3,0.8299223712067749,0.15005931198102015,0.9511278195488722,0.25922131147540983,0.7771355903078238,0.21689728078664103,0.7771355903078238,0.8660455486542443,0.9854340928756851,0.7331545064377682,0.8407776547311431,0.7230545064376905,0.7294034469128062,0.7230545064376905
3,5,6,3,0.8299223712067749,0.15005931198102015,0.9511278195488722,0.25922131147540983,0.7771355903078238,0.21689728078664103,0.7771355903078238,0.8331071913161465,0.9794490599038042,0.6787878787878788,0.8018614641131198,0.6646864686467975,0.665698098069824,0.6646864686467975
4,1,6,3,0.9675217009655711,0.4194831013916501,0.8373015873015873,0.5589403973509933,0.8081045070062969,0.5440069940539589,0.8081045070062969,0.7982208490917807,0.9884494909945184,0.575187969924812,0.7272072591098948,0.5692850184490093,0.5841538034112638,0.5692850184490093
4,2,6,3,0.9675217009655711,0.4194831013916501,0.8373015873015873,0.5589403973509933,0.8081045070062969,0.5440069940539589,0.8081045070062969,0.817791689806634,0.9857366771159874,0.6412766391353115,0.7770433063569531,0.632176639135247,0.6343156385275525,0.632176639135247
4,3,6,3,0.9675217009655711,0.4194831013916501,0.8373015873015873,0.5589403973509933,0.8081045070062969,0.5440069940539589,0.8081045070062969,0.7786125720010018,0.9358893777498428,0.5975120385232745,0.7293656625030615,0.5566997948501167,0.5569918897235501,0.5566997948501167
4,4,6,3,0.9675217009655711,0.4194831013916501,0.8373015873015873,0.5589403973509933,0.8081045070062969,0.5440069940539589,0.8081045070062969,0.7222567287784679,0.9947447447447447,0.42650214592274677,0.5970261339741664,0.42440214592270126,0.43280828591011866,0.42440214592270126
4,5,6,3,0.9675217009655711,0.4194831013916501,0.8373015873015873,0.5589403973509933,0.8081045070062969,0.5440069940539589,0.8081045070062969,0.7924016282225237,0.9923195084485407,0.5872727272727273,0.7378640776699029,0.5827722772276638,0.5839522707902106,0.5827722772276638
5,1,6,3,0.9724009818881444,0.26996197718631176,0.8160919540229885,0.4057142857142857,0.7903184121698539,0.39522216902461516,0.7903184121698539,0.6955201619346935,0.9900768245838668,0.3523581681476418,0.5197445807427323,0.3492566173722143,0.36351124448875777,0.3492566173722143
5,2,6,3,0.9724009818881444,0.26996197718631176,0.8160919540229885,0.4057142857142857,0.7903184121698539,0.39522216902461516,0.7903184121698539,0.6749129095774221,0.9898196625945317,0.34699704292852046,0.5138542846357116,0.3434970429284854,0.3456633284367854,0.3434970429284854
5,3,6,3,0.9724009818881444,0.26996197718631176,0.8160919540229885,0.4057142857142857,0.7903184121698539,0.39522216902461516,0.7903184121698539,0.7703981968444779,0.9662279182542431,0.5596910112359551,0.7088044721128192,0.5401851594803743,0.5405150170626292,0.5401851594803743
5,4,6,3,0.9724009818881444,0.26996197718631176,0.8160919540229885,0.4057142857142857,0.7903184121698539,0.39522216902461516,0.7903184121698539,0.674120082815735,0.9967148488830486,0.3255364806866953,0.49077968295050145,0.32453648068666047,0.33214094016921325,0.32453648068666047
5,5,6,3,0.9724009818881444,0.26996197718631176,0.8160919540229885,0.4057142857142857,0.7903184121698539,0.39522216902461516,0.7903184121698539,0.7186793306196291,0.9981472904122278,0.4353535353535353,0.606273737515825,0.4345534553454906,0.43576981052221975,0.4345534553454906
